Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
70306720,Tracteur Scania G 420,795000.0,2010-10-07,Gazoil,Scania,480,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.41,19.5,6x4,700.0,Occasion,False
70309684,Tracteur Mercedes Arocs,840000.0,2016-10-17,Gazoil,Mercedes,1851 L,FRANCE,,AB MAT,SeineetMarne,8.73,19.5,4x2,440.0,Occasion,False
70309261,Tracteur Iveco S-WAY S-Way AS440S48 T/P 480 CV - INTARDER -,319618.0,2020-11-03,Gazoil,Iveco,18.470,FRANCE,,IVECO EST,Moselle,7.55,19.5,4x2,450.0,Occasion,False
70308196,Tracteur MAN TGX 18-520 ADR 2,308442.0,2024-09-17,Gazoil,MAN,460,FRANCE,,AUTO EXPORT IVANOV,BouchesduRhône,7.33,19.5,6x4,420.0,Occasion,False
70314005,Tracteur convoi exceptionnel MAN TGA 33.480,697000.0,2005-12-07,Gazoil,MAN,1843 LS,FRANCE,,LM,MaineetLoire,7.16,19.5,4x2,369.0,Occasion,False
N280142,Tracteur DAF XF 480,377051.0,2022-09-23,Gazoil,DAF,26.440,FRANCE,,G2L,Vosges,8.25,19.5,6x4,509.0,Occasion - Accidenté,False
M187-1783,Tracteur DAF XG 530,49975.0,2022-02-04,Gazoil,DAF,1851 LS,FRANCE,,FRANCK CASSE,HauteGaronne,7.59,19.5,4x2,399.0,Occasion,False
M137-7997,Tracteur Renault Premium 460 DXI,926000.0,2012-10-22,Gazoil,Renault,450.18,FRANCE,,CLOMAT SARL,Nord,8.09,19.5,4x2,429.0,Occasion,False
M686-1737,Tracteur Renault T-High 520 T4X2 E6,780000.0,2021-02-18,Gazoil,Renault,450,FRANCE,,Startrucks,Vendée,7.74,19.5,4x2,440.0,Occasion,False
23229074,Tracteur produits dangereux / adr Renault T-Series,412300.0,2019-01-16,Gazoil,Renault,480,FRANCE,,ESCO VI SAS,SeineetMarne,6.12,19.5,4x2,399.0,Occasion,False
22967831,Tracteur Renault T-Series,578000.0,2020-10-05,Gazoil,Renault,460,FRANCE,,LENORMANT SAS,Oise,7.6,19.5,4x2,172.0,Occasion,False
22906386,Tracteur Renault Kerax,292260.0,2001-03-02,Gazoil,Renault,520 T4X2 E6,FRANCE,,CLOMAT SARL,Nord,8.27,19.5,4x2,440.0,Occasion,False
7387,Ensemble routier porte engins Renault Lander,94931.0,2005-01-01,Gazoil,Renault,480,FRANCE,,FRADET,Vienne,7.82,19.5,4x2,429.0,Occasion,False
9390,Tracteur Renault T-Series,1060000.0,2022-02-02,Gazoil,Renault,480,FRANCE,,BERNIS TRUCKS POITIERS,Vienne,7.42,19.5,4x2,410.0,Occasion,False
8469,Tracteur Iveco S-WAY 460 CNG,699000.0,2022-09-29,Gazoil,Iveco,440,FRANCE,,PVA TRUCKS,LotetGaronne,10.65,19.5,4x2,459.0,Occasion,False
15561R0172,Tracteur Renault C-Series,400000.0,2021-02-23,Gazoil,Renault,520 T4X2 E6,FRANCE,,ESCO VI SAS,SeineetMarne,7.58,19.5,4x2,450.0,Occasion,False
3815217,Tracteur MAN TGX 18.500,270000.0,2018-10-16,Gazoil,MAN,560,FRANCE,,Touraine Trucks Ets DOURS,IndreetLoire,3.05,19.5,6x2,560.0,Occasion,False
C00114,Tracteur Scania R 450,800000.0,2015-06-15,Gazoil,Scania,510,FRANCE,,GODAR DISTRIBUTION,Côtesd'Armor,9.28,19.5,4x2,440.0,Occasion,False
5894KCN,Tracteur Mercedes Actros 1842,500000.0,2019-01-21,Gazoil,Mercedes,380,FRANCE,,G2L,Vosges,8.26,19.5,4x2,510.0,Occasion - Accidenté,False
70297728,Tracteur Renault T-Series,607264.0,2022-06-27,Gazoil,Renault,530,FRANCE,,GGT TRANS SARL,IlleetVilaine,6.18,19.5,4x2,421.0,Occasion,False
70308616,Tracteur Renault T-Series 480,390000.0,2021-09-07,Gazoil,Renault,480 T4X2 E6,FRANCE,,GGT TRANS SARL,IlleetVilaine,9.49,18.0,4x2,475.0,Occasion,False
70308617,Tracteur MAN TGX 18.510 XLX,470000.0,2021-06-29,Gazoil,MAN,480 FT,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.29,18.6,6x4,460.0,Occasion,False
70308618,Tracteur MAN TGX 18.510 XLX,520000.0,2021-06-25,Gazoil,MAN,500 Globetrotter XL,FRANCE,,GGT TRANS SARL,IlleetVilaine,13.96,20.0,4x2,441.0,Occasion,False
XLRTEH4300G391590,Tracteur Renault T-High 480 T4X2 E6,730000.0,2023-01-01,Gazoil,Renault,AS 440 S 50 TP-E PRO,FRANCE,,Channel Poids Lourds Calais,PasdeCalais,9.49,20.0,4x2,441.0,Occasion,False
XLRTEF5300G411235,Tracteur Renault T460,968789.0,2015-09-01,Gazoil,Renault,480,BELGIQUE,,HOUFFALIZE TRADING,Luxembourg,8.04,26.0,4x2,379.0,Occasion,False
XLRTEF5300G414783,Tracteur Renault T-High 480 T4X2 E6,187500.0,2021-11-23,Gazoil,Renault,480,FRANCE,,Startrucks,Vendée,7.67,20.5,4x2,580.0,Occasion,False
XLRTEF5300G411586,Tracteur MAN TGS 18.470,496000.0,2022-06-15,Gazoil,MAN,480 T4X2 E6,FRANCE,,UTILITAIRES TRUCKS SERVICES FRANCE,LoireAtlantique,8.05,20.0,4x2,490.0,Occasion,False
XLRTEH4300G347854,Tracteur Renault T-Series,789879.0,2023-01-01,Gazoil,Renault,510,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.75,33.0,4x2,449.0,Occasion,False
XLRTEF5300G416834,Tracteur Iveco Stralis,94930.0,2016-01-01,Gazoil,Iveco,510,FRANCE,,GGT TRANS SARL,IlleetVilaine,8.06,32.0,4x2,449.0,Occasion,False
XLRTEF5300G412749,Tracteur Scania S,266000.0,2021-06-15,Gazoil,Scania,AS440S50T/P,FRANCE,,Truckadvisor,Sarthe,8.4,33.0,4x2,400.0,Occasion,False
XLRTEF5300G416861,Tracteur Scania R 580,440000.0,2014-06-16,Gazoil,Scania,520,FRANCE,,Truckadvisor,Sarthe,8.23,19.5,4x2,460.0,Occasion,False
XLRTEF5300G416345,Tracteur Volvo FH 460,550000.0,2005-06-14,Gazoil,Volvo,520,FRANCE,,Truckadvisor,Sarthe,7.77,44.0,4x2,460.0,Occasion,False
XLRTEF5300G449815,Tracteur Scania 114 340,510000.0,1999-07-01,Gazoil,Scania,18.510 XLX,BELGIQUE,,HOUFFALIZE TRADING,Luxembourg,15.88,18.0,4x2,476.0,Occasion,False
XLRTEF5300G390566,Tracteur Renault T-Series 480,460000.0,2018-03-06,Gazoil,Renault,480 T4X2 E6,FRANCE,,BERNIS TRUCKS PARTHENAY,DeuxSèvres,8.17,18.0,4x2,470.0,Occasion,False
XLRTEF5300G412734,Ensemble routier frigo mono température Renault T-High 480 T4X2 13L E6,415600.0,2022-06-01,Gazoil,Renault,440,FRANCE,,GARAGE BERTRAND,IlleetVilaine,7.56,26.0,6x2,480.0,Occasion,False
XLRTEH4300G366815,Tracteur produits dangereux / adr MAN TGS 18.500,1950.0,2019-04-05,Gazoil,MAN,1845 LS,FRANCE,,Garage Gay,Vaucluse,8.5,19.0,4x2,520.0,Occasion,False
XLRTEH4300G357982,Véhicule pour pièces MAN,500000.0,2025-01-03,Gazoil,MAN,450,FRANCE,,GGT TRANS SARL,IlleetVilaine,9.57,19.0,4x2,460.0,Occasion,False
XLRTEF5300G423064,Tracteur Renault AE 390,1000000.0,2000-11-09,Gazoil,Renault,460 T4X2 E6,FRANCE,,BG TRANS POIDS LOURDS,Vald'Oise,8.25,33.0,4x2,459.0,Occasion,False
XLRTEF5300G393243,Tracteur Renault T-Series 480,715000.0,2023-06-21,Gazoil,Renault,480.18,FRANCE,,FCE,BasRhin,8.18,18.0,4x2,420.0,Occasion - Accidenté,False
4766,Tracteur Scania 143 M,1.0,1990-02-01,Gazoil,Scania,500 Globetrotter,BELGIQUE,,HOUFFALIZE TRADING,Luxembourg,7.83,28.0,4x4,410.0,Occasion,False
FMX 460,Tracteur Mercedes Actros,417840.0,2021-01-01,Gazoil,Mercedes,1853,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.92,26.0,4x2,479.0,Occasion,False
FH13 460 KIT,Tracteur Volvo FM,360000.0,2023-12-04,Gazoil,Volvo,1845,FRANCE,,FCE,BasRhin,7.83,18.0,4x2,530.0,Occasion - Accidenté,False
FM13 460 GRUA,Tracteur Renault C-Series 520,1175000.0,2021-01-26,Gazoil,Renault,500 Globetrotter,FRANCE,,Transports GARRASSIN,Var,7.79,18.0,4x2,339.0,Occasion,False
R500 2020,Tracteur MAN 18.480 TGX,431478.0,2017-01-05,Gazoil,MAN,400,FRANCE,,MAGARINOS - DISTRIBUTEUR MAN,Hérault,7.68,20.5,4x2,459.0,Occasion,False
T480 2022,Tracteur Renault Premium 440,603000.0,2006-07-04,Gazoil,Renault,380,FRANCE,,Nord Camions,Nord,7.71,18.0,4x2,479.0,Occasion,False
FH5 500 I-SAVE,Tracteur Renault T-Series 480,377778.0,2021-12-13,Gazoil,Renault,400,FRANCE,,FCE,BasRhin,13.73,19.0,4x2,659.0,Occasion - Accidenté,False
XF 480 2019,Tracteur Renault Premium 450 DXI,748000.0,2010-05-26,Gazoil,Renault,480 T4X2 E6,FRANCE,,CLOMAT SARL,Nord,8.6,19.0,6x2,420.0,Occasion,False
FH12 380,Tracteur Renault Premium 440 DXI,636780.0,2006-10-03,Gazoil,Renault,11.450,FRANCE,,Nord Camions,Nord,7.84,19.0,4x2,500.0,Occasion,False
T520 2020,Tracteur Scania R 500,780000.0,2023-08-17,Gazoil,Scania,480,FRANCE,,FCE,BasRhin,8.14,19.0,4x2,480.0,Occasion - Accidenté,False
ACTROS 2017,Tracteur produits dangereux / adr DAF XF New generation 480,685000.0,2023-03-09,Gazoil,DAF,1845,FRANCE,,CAMION SERVICE 31,HauteGaronne,7.43,20.5,4x2,510.0,Occasion,False
U60037,Tracteur DAF CF 440 SSC,1.0,2019-07-11,Gazoil,DAF,510,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.97,20.0,4x2,448.0,Occasion,False
U61084,Tracteur Iveco Stralis 440 S 46,490000.0,2015-06-17,Gazoil,Iveco,500 Globetrotter,FRANCE,,Transports GARRASSIN,Var,7.35,18.6,4x2,539.0,Occasion,False
4058_6X6_EU3_1,Tracteur Iveco Stralis 460,380000.0,2017-05-31,Gazoil,Iveco,18.510,FRANCE,,Transports GARRASSIN,Var,8.0,20.0,4x2,469.0,Occasion,False
322568,Tracteur Scania G 500,690000.0,2018-11-20,Gazoil,Scania,1851,FRANCE,,Transports GARRASSIN,Var,8.02,19.5,4x2,749.0,Occasion,False
325176,Tracteur Mercedes Actros 1843,151895.0,2015-12-01,Gazoil,Mercedes,500 Globetrotter XL,FRANCE,,Transports GARRASSIN,Var,7.5,26.0,4x2,428.0,Occasion,False
325175,Tracteur Mercedes Actros 1843,234276.0,2015-02-10,Gazoil,Mercedes,510 SSC,FRANCE,,FARES TRUCKS,Loiret,7.8,19.5,6x2,479.0,Occasion,False
325849,Tracteur Mercedes Actros 1845 LS,307710.0,2015-06-01,Gazoil,Mercedes,530 SSC,FRANCE,,FARES TRUCKS,Loiret,8.18,19.5,6x2,420.0,Occasion,False
325173,Tracteur Renault T-High THIGH 480,697000.0,2025-09-01,Gazoil,Renault,500,FRANCE,,CODICA VI SAS,Calvados,6.77,19.5,4x2,460.0,Occasion,False
11160,Tracteur Renault T-Series 480,610000.0,2024-09-04,Gazoil,Renault,1843,FRANCE,,FCE,BasRhin,7.74,19.5,4x2,310.0,Occasion - Accidenté,False
70001766,Tracteur MAN TGX 18.460,583733.0,2018-05-31,Gazoil,MAN,460,FRANCE,,Ets BALABAN,Rhône,7.77,19.5,4x2,460.0,Occasion,False
TOBT2308101,Tracteur DAF XF 105.460,470000.0,2014-01-07,Gazoil,DAF,480 SSC,FRANCE,,Ets BALABAN,Rhône,7.85,70.0,4x2,480.0,Occasion,False
11318,Tracteur Volvo FH 420,58500.0,2004-10-22,Gazoil,Volvo,18.520,FRANCE,,FARES TRUCKS,Loiret,10.65,40.0,6x2,530.0,Occasion,False
8845,Tracteur Renault T-Series 480,368000.0,2021-05-12,Gazoil,Renault,500,FRANCE,,FCE,BasRhin,7.45,18.6,4x2,480.0,Occasion - Accidenté,False
9813,Tracteur Ford neuf F MAX TRACTEUR 4X2 500CV F-MAX,501400.0,2025-07-01,Gazoil,Ford,500 Globetrotter XL,FRANCE,,SELECT POIDS LOURDS 49,MaineetLoire,7.65,18.0,4x2,480.0,Neuf,False
9027,Tracteur Mercedes Actros 1845,643870.0,2023-10-25,Gazoil,Mercedes,460,FRANCE,,FCE,BasRhin,7.66,18.0,4x2,470.0,Occasion - Accidenté,False
TC17300,Tracteur Renault T-Series 520.18 DTI 13,727890.0,2018-05-18,Gazoil,Renault,500,FRANCE,,EURO NEP,Rhône,6.9,20.5,4x2,470.0,Occasion,False
TC43922,Tracteur Renault Premium 450 dxi,606280.0,2007-03-01,Gazoil,Renault,580,BELGIQUE,,HOUFFALIZE TRADING,Luxembourg,8.05,18.0,4x2,450.0,Occasion,False
TC98910,Tracteur produits dangereux / adr MAN TGX 18.440 XLX,450000.0,2011-12-14,Gazoil,MAN,XP 480,FRANCE,,B.I.B,Rhône,9.11,18.9,4x2,460.0,Occasion,False
TC45583,Tracteur produits dangereux / adr Renault Premium 460 EEV,750000.0,2011-12-09,Gazoil,Renault,460,FRANCE,,B.I.B,Rhône,10.37,21.0,4x2,510.0,Occasion,False
TC89846,Tracteur produits dangereux / adr Renault Premium 460 EEV,253000.0,2011-07-25,Gazoil,Renault,570,FRANCE,,B.I.B,Rhône,7.76,19.0,4x2,460.0,Occasion,False
TC12023,Tracteur produits dangereux / adr MAN TGS 18.440,110000.0,2014-01-03,Gazoil,MAN,510,FRANCE,,B.I.B,Rhône,8.98,18.0,4x2,479.0,Occasion,False
24836,Tracteur DAF,1000000.0,2002-07-18,Gazoil,DAF,480 FT,FRANCE,,TANCARVILLE SARL,SeineMaritime,8.35,18.0,4x4,482.0,Occasion,False
25468,Tracteur Iveco Cursor 440,980000.0,2001-01-01,Gazoil,Iveco,480,FRANCE,,TANCARVILLE SARL,SeineMaritime,8.18,18.0,4x2,482.0,Occasion,False
SFH740360+1,Tracteur Scania R 480,578000.0,2008-09-24,Gazoil,Scania,420,FRANCE,,TANCARVILLE SARL,SeineMaritime,7.57,20.5,6x4,482.0,Occasion,False
SFH263851+6,Tracteur Scania R,760000.0,2015-11-06,Gazoil,Scania,124G360,FRANCE,,TANCARVILLE SARL,SeineMaritime,9.18,19.0,4x2,482.0,Occasion,False
SFH820243+4,Tracteur MAN TGX 33.540,615000.0,2014-12-24,Gazoil,MAN,460,FRANCE,,TANCARVILLE SARL,SeineMaritime,9.18,19.0,4x2,482.0,Occasion,False
SFH042678+3,Tracteur Volvo FH12 440,950000.0,2006-04-11,Gazoil,Volvo,450,FRANCE,,TANCARVILLE SARL,SeineMaritime,7.57,44.0,4x2,482.0,Occasion,False
6208,Tracteur Iveco Cursor 340,1000000.0,1995-04-14,Gazoil,Iveco,700,FRANCE,,BL NEGOCE SERVICES,Calvados,7.7,18.0,4x2,482.0,Occasion,False
EL24757,Tracteur DAF XF 450,490000.0,2021-07-30,Gazoil,DAF,520,FRANCE,,G2L,Vosges,8.18,18.0,4x2,482.0,Occasion - Accidenté,False
448959197,Tracteur Renault C-Series 430,646292.0,2017-10-24,Gazoil,Renault,440.18 DTI 13,FRANCE,,BL NEGOCE SERVICES,Calvados,8.24,18.0,4x2,482.0,Occasion,False
XL49518,Véhicule pour pièces Volvo FH13 500,900000.0,2017-03-04,Gazoil,Volvo,420,FRANCE,,JESTIN POIDS LOURDS SAS,Finistère,7.79,7.0,4x2,482.0,Occasion,False
T06470,Tracteur MAN TGX 18.460 XLX,561000.0,2017-03-08,Gazoil,MAN,460,FRANCE,,FCE,BasRhin,8.55,27.0,4x2,482.0,Occasion,False
70314554,Tracteur Scania R 480,669962.0,2005-01-01,Gazoil,Scania,94P300,FRANCE,,BCA,IlleetVilaine,8.14,18.0,4x2,459.0,Occasion,False
XLRTEF5300G407324,Tracteur Volvo FM13 13500 EEV 10X4 HEAVY DUTY,377548.0,2011-06-01,Gazoil,Volvo,500,PAYS-BAS,,KLEYN TRUCKS BV,Gelderland,8.13,18.0,4x2,440.0,Occasion,False
XLRTEF5300G406020,Tracteur DAF 480 XF SSC PTO+HYDR.,391027.0,2021-08-01,Gazoil,DAF,480,PAYS-BAS,,KLEYN TRUCKS BV,Gelderland,7.29,20.5,4x2,480.0,Occasion,False
XLRTEF5300G463155,Tracteur Volvo FH 420 LNG GAS 1ST OWNER,92930.0,2019-01-01,Gazoil,Volvo,520 T4X2 E6,PAYS-BAS,,KLEYN TRUCKS BV,Gelderland,7.85,19.5,4x2,520.0,Occasion,False
XLRTEF5300G405953,Tracteur DAF 480 XFn FT 4X2,936881.0,2022-11-04,Gazoil,DAF,530,POLOGNE,,"DAF Used Truck Center Warsaw, Sobiekursk (Warszawy)",Mazowieckie,8.3,18.0,4x2,476.0,Occasion,False
XLRTEF5300G410359,Tracteur DAF 480 XFn FT 4X2,772641.0,2022-11-08,Gazoil,DAF,380,POLOGNE,,"DAF Used Truck Center Warsaw, Sobiekursk (Warszawy)",Mazowieckie,8.86,18.0,4x2,476.0,Occasion,False
XLRTEF5300G432443,Tracteur DAF 480 XF FT 4X2,1460000.0,2022-05-15,Gazoil,DAF,500,POLOGNE,,"DAF Used Truck Center Warsaw, Sobiekursk (Warszawy)",Mazowieckie,8.63,28.0,4x2,510.0,Occasion,False
70306518,Tracteur surbaissé MAN TGS 26.500,789009.0,2018-01-02,Gazoil,MAN,,POLOGNE,,HG,Pomorskie,7.9,18.0,4x2,530.0,Occasion,False
NH3790,Tracteur Mercedes Actros 1842,286260.0,2017-04-26,Gazoil,Mercedes,,ESPAGNE,,Professional Truck Services SL,Barcelona,7.49,19.5,6x2,450.0,Occasion,False
MB 1848 Actros SZM 4x2,Tracteur Volvo FH 500 Globetrotter,655925.0,2019-03-08,Gazoil,Volvo,,BELGIQUE,,DEGROOTE TRUCKS & TRAILERS,WestVlaanderen,8.3,20.0,4x2,399.0,Occasion,False
SI82865,Ensemble routier rideaux coulissants (plsc) Renders Schuifzeil,960228.0,2007-07-18,Gazoil,Renders,,BELGIQUE,,DEGROOTE TRUCKS & TRAILERS,WestVlaanderen,7.73,28.0,6x4,500.0,Occasion,False
SI82699,Tracteur MAN TGS 18.440,631726.0,2015-12-08,Gazoil,MAN,,BELGIQUE,,DEGROOTE TRUCKS & TRAILERS,WestVlaanderen,8.4,20.0,6x2,479.0,Occasion,False
70309055,Tracteur DAF XF105 530 Super Space Cab,459800.0,2018-05-07,Gazoil,DAF,,BELGIQUE,,DEGROOTE TRUCKS & TRAILERS,WestVlaanderen,7.92,25.7,4x2,410.0,Occasion,False
70312078,Tracteur MAN TGS 18.440,1274275.0,2017-06-01,Gazoil,MAN,,POLOGNE,,Ciezarowki.pl,Małopolskie,7.49,20.5,4x2,750.0,Occasion,False
70308200,Tracteur MAN TGS 33.510,238911.0,2021-06-01,Gazoil,MAN,,POLOGNE,,Ciezarowki.pl,Małopolskie,7.49,21.0,6x4,572.0,Occasion,False
70313334,Tracteur MAN TGX 18.510,251509.0,2023-06-01,Gazoil,MAN,,POLOGNE,,Ciezarowki.pl,Małopolskie,9.7,19.0,4x2,459.0,Occasion,False
70313516,Tracteur MAN TGX 33.640,360000.0,2020-06-01,Gazoil,MAN,,POLOGNE,,Ciezarowki.pl,Małopolskie,7.5,20.5,6x4,509.0,Occasion,False
70313333,Tracteur Iveco S-WAY 510 AUTOMATICO CON INTARDER,564718.0,2021-06-06,Gazoil,Iveco,,ESPAGNE,,Talleres Fandos S.L.,Teruel,8.14,18.0,6x2,379.0,Occasion,False
70312953,Tracteur Iveco neuf T-WAY 470,610011.0,,Gazoil,Iveco,,ESPAGNE,,VALLOR TRUCKS SL,Valencia,8.81,19.0,6x6,530.0,Neuf,False
70314563,"Ensemble routier rideaux coulissants (plsc) SCB3ST CoC Documents, TuV Loading Certif",829932.0,2015-01-01,Gazoil,nc,,PAYS-BAS,,PFEIFER Sales BV,Gelderland,12.88,27.0,6x2,580.0,Occasion,False
70298713,Tracteur Volvo FH 440,579946.0,2007-08-01,Gazoil,Volvo,,ALLEMAGNE,,PJ Nutzfahrzeughandels GmbH,NordrheinWestfalen,12.88,37.0,4x2,482.0,Occasion,False
70313285,Tracteur Volvo FH 440 Globetrotter,606614.0,2008-01-01,Gazoil,Volvo,,ALLEMAGNE,,PJ Nutzfahrzeughandels GmbH,NordrheinWestfalen,13.12,32.0,4x2,480.0,Occasion,False
70314556,Tracteur MAN TGX 18.500,733698.0,2018-01-01,Gazoil,MAN,,ALLEMAGNE,,PJ Nutzfahrzeughandels GmbH,NordrheinWestfalen,7.63,28.0,6x4,500.0,Occasion,False
0544/25,Tracteur MAN TGX 18.460,586000.0,2018-06-11,Gazoil,MAN,,ESPAGNE,,Pañalon sa.,Albacete,13.3,19.0,4x2,480.0,Occasion,False
0802/26,Tracteur MAN TGX 18.460,900000.0,2018-05-08,Gazoil,MAN,,ESPAGNE,,Pañalon sa.,Albacete,9.73,18.0,4x2,460.0,Occasion,False
12954,Tracteur DAF 480 FT CF370 4x2 Daycab Euro6 Automaat - 6930KG (T1),733000.0,2015-06-25,Gazoil,DAF,,PAYS-BAS,,GEMA TRADING,NoordBrabant,15.38,19.5,4x2,500.0,Occasion,False
11122,Tracteur DAF CF 460 Euro 6,300000.0,2016-08-30,Gazoil,DAF,,PAYS-BAS,,KAUS TRUCKS,Gelderland,7.73,20.5,4x2,429.0,Occasion,False
23091219,Tracteur Volvo NL FM 340 FM 4X2 -Truck VEB Euro 3,298511.0,2005-09-01,Gazoil,Volvo,,PAYS-BAS,,BAS WORLD,,12.0,28.0,4x2,480.0,Occasion,False
23101505,Tracteur produits dangereux / adr Volvo F6 FH 460 4X2 ADR Retarder VEB+ Alcoa's,498071.0,2021-01-27,Gazoil,Volvo,,PAYS-BAS,,BAS WORLD,,8.11,20.1,4x2,430.0,Occasion,False
23030490,Tracteur Renault neuf T HIGH 480 4x2 - Lowdeck - Lifting 5th wheel - Retarder - Night clima - Full air - New,558731.0,2025-11-25,Gazoil,Renault,,PAYS-BAS,,VAEX TRUCKS TRADING,NoordBrabant,8.11,27.0,4x2,480.0,Neuf,False
26020270,Tracteur Volvo FH16 16660 Globetrotter 6x4 - PTO/Hydraulic - HUB reduction - Leather,332828.0,2009-06-22,Gazoil,Volvo,,PAYS-BAS,,VAEX TRUCKS TRADING,NoordBrabant,8.57,27.0,6x4,510.0,Occasion,False
25020115,Tracteur MAN neuf TGX 26.540 6x2/4 - New - Full spec - Retarder - Steering axle - Alloy wheels,362519.0,2025-07-01,Gazoil,MAN,,PAYS-BAS,,VAEX TRUCKS TRADING,NoordBrabant,7.68,18.0,4x2,510.0,Neuf,False
23121755,Tracteur Mercedes neuf E Actros 2548 6x2/4 Procabin GigaSpace - NEW - Night clima - PTO - ACC - Sliding 5th wheel,336036.0,2025-10-12,Gazoil,Mercedes,,PAYS-BAS,,VAEX TRUCKS TRADING,NoordBrabant,6.0,18.0,4x2,482.0,Neuf,False
24070828,Tracteur MAN G420 TGX 18420 Low deck - Lifting 5th wheel - Retarder - 2x Rockinger - Night clima,317565.0,2017-03-29,Gazoil,MAN,,PAYS-BAS,,VAEX TRUCKS TRADING,NoordBrabant,8.2,20.5,4x2,482.0,Occasion,False
23091269,Tracteur Volvo neuf FH 500,497518.0,,Gazoil,Volvo,,ESPAGNE,,CT Trucks Services,Madrid,7.7,19.0,4x2,482.0,Neuf,False
UNSINN - LK 2642-14-1750 - 61484,Tracteur Mercedes neuf Actros 1851 LS TECHO BAJO,502648.0,2024-09-06,Gazoil,Mercedes,,ESPAGNE,,CONCESUR USED TRUCKS,Sevilla,7.51,20.5,6x4,500.0,Neuf,False
KÖGEL - S24-1 - 61393,Tracteur Mercedes E Actros 2545 6x2 STREAMSPACE,379691.0,2023-02-01,Gazoil,Mercedes,,ESTONIE,,KB Auto Estonia OÜ,Estonie,8.0,19.0,4x2,577.0,Occasion,False
SCHMITZ - Cargobull SCB3ST - 61411,Tracteur Mercedes E Actros 2863 6x4 BIG SPACE CAB / RETARDER,433833.0,2021-08-01,Gazoil,Mercedes,,ESTONIE,,KB Auto Estonia OÜ,Estonie,9.9,19.5,4x2,480.0,Occasion,False
323212,Tracteur Scania R 540 6x4 ETADE,323691.0,2021-02-01,Gazoil,Scania,,ESTONIE,,KB Auto Estonia OÜ,Estonie,7.77,19.0,4x2,460.0,Occasion,False
325837,Tracteur Volvo FH 460 6x2 HYDRAULICS,424178.0,2015-11-01,Gazoil,Volvo,,ESTONIE,,KB Auto Estonia OÜ,Estonie,8.12,18.0,4x4,435.0,Occasion,False
325606,Tracteur Volvo FH16 750 6x4 GCW 80 ton / RETARDER / HYDRAULICS / TANDEM AXLE LIFT,394045.0,2017-10-01,Gazoil,Volvo,,ESTONIE,,KB Auto Estonia OÜ,Estonie,9.5,19.5,4x2,459.0,Occasion,False
325508,Tracteur Scania L R 420 4x2 HYDRAUICS,285179.0,2007-02-01,Gazoil,Scania,,ESTONIE,,KB Auto Estonia OÜ,Estonie,8.0,19.0,4x2,460.0,Occasion,False
0458,Tracteur DAF XF,493115.0,2019-01-01,Hybride,DAF,,ESPAGNE,,RAMBOTRUCKS SL,Castellón,7.81,27.0,4x2,470.0,Occasion,False
2537,Tracteur Scania R 450,362189.0,2015-01-15,Gazoil,Scania,,PORTUGAL,,RODACAMIONS SL,Braga,13.45,29.5,4x2,450.0,Occasion,False
2591,Tracteur Renault T-High 480 T4X2 E6,351893.0,2021-05-09,Gazoil,Renault,,ESPAGNE,,CT Trucks Finances Services,Madrid,6.66,19.5,4x2,470.0,Occasion,False
XLRTEF5300G428901,Tracteur DAF 480 XF FT 4X2,353666.0,2021-04-14,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x2,480.0,Occasion,False
XLRTEF5300G415609,Tracteur DAF 480 XG FT 4X2,872471.0,2022-08-19,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x2,460.0,Occasion,False
XLRTEH4300G382369,Tracteur DAF 480 XG FT 4X2,374000.0,2023-02-23,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x2,570.0,Occasion,False
XLRTEF5300G392680,Tracteur DAF 480 XFn FT 4X2,1266933.0,2022-02-02,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x2,625.0,Occasion,False
XLRTEF5300G411567,Tracteur DAF 480 XF FT LOW DECK 4X2,351482.0,2022-01-28,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,19.5,4x2,501.0,Occasion,False
XLRTEH4300G349116,Tracteur DAF 480 XFn FT 4X2,715605.0,2022-04-20,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x2,520.0,Occasion,False
XLRTEH4300G367661,Tracteur DAF 480 XG FT LOW DECK 4X2,499635.0,2022-06-14,Gazoil,DAF,,ALLEMAGNE,,DAF Used Trucks Deutschland,NordrheinWestfalen,,20.5,4x4,449.0,Occasion,False
