Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat,Prix_connu
AA176,Tracteur produits dangereux / adr MAN TGX TGX 18.510 4x2 LL SA,577088.0,2022-03-01,Gazoil,MAN,1851,FRANCE,,MAN TopUsed Rouen,SeineMaritime,7.8,19.5,4x2,500.0,Occasion,False
AROCS 1846,Tracteur Renault Premium 440 DXI,692339.0,2008-08-01,GNV,Renault,460,FRANCE,,MTI manutention,Yvelines,8.44,19.5,4x2,460.0,Occasion,False
250203,Tracteur Renault Premium 460 DXI,325457.0,2012-02-10,Gazoil,Renault,500,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.8,19.5,4x2,420.0,Occasion,False
D25-974,Tracteur Renault 460 Gamme T,535217.0,2015-04-21,Gazoil,Renault,18.510,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.97,19.5,4x2,449.0,Occasion,False
675652,Tracteur MAN 19.403,530004.0,1997-04-12,Gazoil,MAN,530,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.09,19.5,4x2,520.0,Occasion,False
R520,Tracteur Volvo FM 450,436000.0,2013-07-03,Gazoil,Volvo,500 Globetrotter,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,6.97,19.5,4x2,530.0,Occasion,False
F MAX500,Tracteur MAN TGS 18.440,146911.0,2015-07-13,Gazoil,MAN,500 Globetrotter,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,11.6,19.5,4x2,480.0,Occasion,False
S580,Tracteur Scania R 420,790000.0,2010-11-02,Gazoil,Scania,440 S 50,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.63,19.5,4x2,480.0,Occasion,False
164 580,Tracteur DAF XF460,583155.0,2015-07-03,Gazoil,DAF,1845 LS,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.96,19.5,4x2,480.0,Occasion,False
EX323,Tracteur Renault Kerax 450 DXi,150000.0,2009-01-14,Gazoil,Renault,480 FT,FRANCE,,TIL IMPORT EXPORT,Aveyron,8.07,19.0,4x2,460.0,Occasion,False
250199,Tracteur DAF XF 530,500000.0,2022-01-25,Gazoil,DAF,460 DXI,FRANCE,,DPL 21,Côted'Or,8.39,19.5,4x2,480.0,Occasion - Accidenté,False
71047,Tracteur Iveco Stralis 480,251000.0,2016-09-08,Gazoil,Iveco,1845,FRANCE,,DPL 21,Côted'Or,8.23,20.5,4x2,480.0,Occasion - Accidenté,False
D25-975,Tracteur Renault C-Series 480 C-Series,665360.0,2017-08-25,Gazoil,Renault,460,FRANCE,,DPL 21,Côted'Or,8.53,16.0,4x2,460.0,Occasion - Accidenté,False
250198,Tracteur Renault T-Series,110000.0,2020-02-25,Gazoil,Renault,500,FRANCE,,SOVIM,Somme,7.97,20.5,4x2,440.0,Occasion,False
VO747,Tracteur Renault K-Series 500,757000.0,2020-09-01,Gazoil,Renault,440 S 50,FRANCE,,SODEXIM,Nord,6.88,21.0,4x2,500.0,Occasion,False
8954,Tracteur Scania R 480,714000.0,2009-03-09,Gazoil,Scania,730,FRANCE,,Euromed Equipment,Cher,7.24,21.0,4x2,450.0,Occasion,False
250114,Tracteur Renault Premium Lander 450 DXI,826000.0,2008-01-10,Gazoil,Renault,480,FRANCE,,AVIE SARL,Rhône,8.93,24.0,4x2,460.0,Occasion,False
70651,Tracteur MAN TGX 18.680,563000.0,2013-07-11,Gazoil,MAN,500,FRANCE,,GEST LEASE INGENIERIE,BasRhin,8.58,18.0,4x2,480.0,Occasion,False
250190,Tracteur Volvo FH 500,1097000.0,2023-02-16,Gazoil,Volvo,450,FRANCE,,GEST LEASE INGENIERIE,BasRhin,7.98,20.0,4x2,520.0,Occasion - Accidenté,False
GM490,Tracteur MAN TGX 18.510,612000.0,2019-06-13,Gazoil,MAN,480 T4X2 E6,FRANCE,,BKR SERVICE,Paris,8.37,33.0,4x2,480.0,Occasion,False
25092611132541612000,Tracteur MAN,751000.0,2009-04-23,Gazoil,MAN,500,FRANCE,,CAVAAL INDUSTRIE,EureetLoir,7.98,20.5,4x2,480.0,Occasion,False
005114,Tracteur Renault Premium 460,595048.0,2013-10-10,Gazoil,Renault,480 FT,FRANCE,,PFT SARL,Aube,8.43,19.0,4x2,460.0,Occasion,False
250102,Tracteur Renault T-High 520 T4X2 E6,306539.0,2022-12-27,Gazoil,Renault,530 FT,FRANCE,,GARAGE CONTANT,Côted'Or,8.02,26.0,6x2,459.0,Occasion,False
0046,Tracteur Mercedes Actros 1848,377000.0,2024-02-12,Gazoil,Mercedes,480 FT,FRANCE,,GEST LEASE INGENIERIE,BasRhin,8.7,19.0,4x2,385.0,Occasion - Accidenté,False
0049,Tracteur Mercedes AROCS 1843,780000.0,2016-08-15,Gazoil,Mercedes,530 FT,FRANCE,,GEST LEASE INGENIERIE,BasRhin,7.46,20.5,4x2,480.0,Occasion,False
58,Tracteur Renault Premium 450 DXI,761000.0,2010-01-04,Gazoil,Renault,480 FT,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.3,19.5,4x2,460.0,Occasion,False
111,Ensemble routier plateau Renault T520,412974.0,2016-12-20,Gazoil,Renault,530 FT,FRANCE,,Truck Agence,Côted'Or,8.28,18.6,4x2,520.0,Occasion,False
67728,Tracteur Scania R SUER R500,270000.0,2023-03-07,Gazoil,Scania,480 FT,FRANCE,,Truck Agence,Côted'Or,10.91,18.0,4x2,620.0,Occasion,False
240109,Tracteur DAF 480 XF,705513.0,2021-01-20,Gazoil,DAF,480 FT,FRANCE,,Truck Agence,Côted'Or,8.16,18.0,4x2,420.0,Occasion,False
737925,Tracteur Renault T520,749153.0,2016-12-20,Gazoil,Renault,480 FT,FRANCE,,Truck Agence,Côted'Or,8.6,18.0,4x2,580.0,Occasion,False
1ef13601-6b87-6cb4-9149-f5266cbaac4e,Tracteur Volvo FH,860122.0,2016-03-24,Gazoil,Volvo,480 FT,FRANCE,,Truck Agence,Côted'Or,7.34,18.0,4x2,580.0,Occasion,False
30013647,Tracteur Volvo FH 500,1.0,2019-06-27,Gazoil,Volvo,480 FT,FRANCE,,EURO EST SERVICES PLUS SARL,BasRhin,7.72,27.0,4x2,469.0,Occasion,False
30014232,Tracteur Mercedes Actros 1848 LS,254400.0,2021-08-11,Gazoil,Mercedes,450 High/line,FRANCE,,Cetif Mercedes Creil,Oise,8.26,7.08,4x2,460.0,Occasion,False
30014187,Tracteur DAF XF 480,446327.0,2019-06-03,Gazoil,DAF,1845,FRANCE,,AVIE SARL,Rhône,7.83,18.0,4x2,440.0,Occasion,False
30013904,Tracteur DAF 480 XF SC 4x2 | Leasing from €1509/month,522218.0,2020-05-28,Gazoil,DAF,500,FRANCE,,SPARDEX,Nord,7.74,18.0,4x2,480.0,Occasion,False
30011763,Tracteur DAF 480 XF SC | Leasing from €1386/month,1173603.0,2020-03-31,Gazoil,DAF,500,FRANCE,,SPARDEX,Nord,7.56,18.0,4x2,480.0,Occasion,False
30013168,Tracteur DAF XF 530 SC 4x2 | Leasing from €1920/month,854895.0,2019-02-28,Gazoil,DAF,18.520,FRANCE,,SPARDEX,Nord,7.11,18.0,4x2,480.0,Occasion,False
30013315,Tracteur Mercedes Actros 1845,959811.0,2016-02-04,Hybride,Mercedes,500,FRANCE,,H&A International Trucks,AlpesMaritimes,8.24,33.0,4x2,440.0,Occasion,False
VV47416,Tracteur Renault T-Series,25000.0,2023-01-01,Gazoil,Renault,480 T4X2 E6,FRANCE,,Clovis Location Mende,Lozère,7.57,18.0,4x2,460.0,Occasion,False
7-120,Tracteur Renault T-Series,899119.0,2023-01-01,Gazoil,Renault,500 Globetrotter XL,FRANCE,,Clovis Location Rodez,Aveyron,7.79,6.5,4x2,478.0,Occasion,False
19040 A,Tracteur Scania R 460,682000.0,2001-07-25,Gazoil,Scania,480,FRANCE,,AUTO EXPORT IVANOV,BouchesduRhône,7.84,18.0,4x2,480.0,Occasion,False
NO: 19 DAF CF 460 Spacecab Euro 6 2016,Tracteur MAN TGA 18.440,711000.0,2007-09-01,Gazoil,MAN,480,FRANCE,,Euromed Equipment,Cher,8.48,18.0,6x2,510.0,Occasion,False
NO: 66 DAF XF 460 Spacecab Euro 6 2014,Tracteur Renault T-Series 460,1000000.0,2015-05-26,Gazoil,Renault,500 Globetrotter XL,FRANCE,,INTERNATIONAL STRATEGE SARL,SeineMaritime,6.81,18.0,4x2,480.0,Occasion,False
322896,Tracteur Renault T-Series 460,938000.0,2025-05-25,Gazoil,Renault,480,FRANCE,,INTERNATIONAL STRATEGE SARL,SeineMaritime,7.22,19.0,4x2,450.0,Occasion,False
321637,Tracteur MAN TGX 18.460,1096000.0,2017-11-06,Gazoil,MAN,480,FRANCE,,INTERNATIONAL STRATEGE SARL,SeineMaritime,7.85,30.0,4x2,440.0,Occasion,False
322416,Tracteur MAN TGX 18.460,468000.0,2017-11-27,Gazoil,MAN,18.520,FRANCE,,INTERNATIONAL STRATEGE SARL,SeineMaritime,8.29,18.0,6x4,500.0,Occasion,False
319638,Tracteur Renault T-Series,1347725.0,2023-01-01,Gazoil,Renault,480 T4X2 E6,FRANCE,,CLOVIS LOCATION NARBONNE,Aude,8.21,36.0,4x2,420.0,Occasion,False
322388,Tracteur Renault T-Series,669000.0,2023-01-01,Gazoil,Renault,480 T4X2 E6,FRANCE,,CLOVIS LOCATION NARBONNE,Aude,8.32,18.0,4x2,460.0,Occasion,False
320942,Tracteur Scania R 500,1.0,2019-08-08,Gazoil,Scania,500 Globetrotter XL,FRANCE,,FRANCK CASSE,HauteGaronne,7.5,6.81,6x4,430.0,Occasion,False
324262,Tracteur Volvo FH12 420,96000.0,2001-10-11,Gazoil,Volvo,460 GNL,FRANCE,,AVIE SARL,Rhône,7.38,19.0,4x2,420.0,Occasion,False
323698,Tracteur Iveco S-WAY 460,547638.0,2021-09-01,Gazoil,Iveco,480,FRANCE,,PVA TRUCKS,LotetGaronne,7.74,18.0,4x2,420.0,Occasion,False
320947,Tracteur DAF XF105 460,607000.0,2012-02-01,Gazoil,DAF,500 Globetrotter XL,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.34,18.0,4x2,520.0,Occasion,False
321916,Tracteur Volvo FH 500,597000.0,2012-10-11,Gazoil,Volvo,1851 LS,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.25,19.0,4x2,480.0,Occasion,False
EL24740,Tracteur Renault T-Series,692000.0,2023-01-01,Gazoil,Renault,520 T4X2 E6,FRANCE,,Clovis Location Villefranche de Rouergue,Aveyron,8.22,44.0,4x2,460.0,Occasion,False
2089,Tracteur Renault T-Series,679000.0,2023-01-01,Gazoil,Renault,500 Globetrotter XL,FRANCE,,Clovis Location Villefranche de Rouergue,Aveyron,10.28,44.0,4x2,440.0,Occasion,False
67a5f4fbc11108bf5724b67f,Tracteur MAN neuf TGX 18.470,876000.0,,Gazoil,MAN,1842 LS,FRANCE,,Samyn Location,Nord,6.92,18.0,4x2,330.0,Neuf,False
6980cc9f5780fcddfd793507,Tracteur Renault T-Series,634000.0,2023-01-01,Gazoil,Renault,410 DXI,FRANCE,,CLOVIS LOCATION CASTRES,Tarn,8.14,18.0,4x2,540.0,Occasion,False
XLRTEH4300G424348,Tracteur MAN TGX BLS L2007 18.460,918000.0,2019-03-18,Gazoil,MAN,480 T4X2 13L E6,FRANCE,,Garage POULALION,SeineetMarne,15.4,18.0,4x2,340.0,Occasion,False
XLRTEF5300G409419,Tracteur Renault T-Series,227880.0,2023-01-01,Gazoil,Renault,410,FRANCE,,Clovis Location Montpellier,Hérault,8.31,18.0,4x2,450.0,Occasion,False
XLRTEF5300G410122,Tracteur Mercedes Actros 1845,316300.0,2021-02-22,Gazoil,Mercedes,400,FRANCE,,HSB CARGO,Loire,12.9,18.0,4x2,430.0,Occasion,False
XLRTEF5300G408313,Tracteur MAN TGX 18.480,235000.0,2013-12-04,Gazoil,MAN,480 FT,FRANCE,,L.S.V.I.,MaineetLoire,19.52,19.0,4x2,500.0,Occasion,False
XLRTEF5300G410065,Tracteur Renault T-Series 480.19 DTI 13,589173.0,2019-06-07,Gazoil,Renault,1848 LS,FRANCE,,CIAPE,Rhône,7.29,44.0,4x2,500.0,Occasion,False
XLRTEF5300G405959,Tracteur Renault T-Series 480.19 DTI 13,544333.0,2018-06-18,Gazoil,Renault,450,FRANCE,,CIAPE,Rhône,9.46,20.5,4x2,480.0,Occasion,False
XLRTEF5300G408854,Tracteur produits dangereux / adr Renault T-Series 460.19 DTI 11,695349.0,2019-05-02,Gazoil,Renault,500,FRANCE,,CIAPE,Rhône,7.21,20.5,4x2,500.0,Occasion,False
XLRTEF5300G433784,Tracteur produits dangereux / adr DAF XF 480 FT,845268.0,2019-07-23,Gazoil,DAF,480,FRANCE,,CIAPE,Rhône,8.32,19.0,4x2,530.0,Occasion,False
XLRTEF5300G409178,Tracteur produits dangereux / adr Renault T-Series 480.19 DTI 13,725624.0,2019-03-08,Gazoil,Renault,480,FRANCE,,CIAPE,Rhône,7.9,19.0,6x2,450.0,Occasion,False
XLRTEF5300G411133,Tracteur Volvo FH 540,746993.0,2020-09-01,Gazoil,Volvo,510,FRANCE,,ADM NEGOCE,Meuse,9.88,19.0,4x2,460.0,Occasion,False
XLRTEH4300G345287,Tracteur Renault T-Series 460,525081.0,2020-03-02,Gazoil,Renault,620,FRANCE,,DUBREU SA,Nord,8.44,18.0,4x2,460.0,Occasion,False
XLRTEF5300G452620,Tracteur Scania R 580,313412.0,2016-05-11,Gazoil,Scania,530 FT,FRANCE,,Truckadvisor,Sarthe,7.87,20.5,4x2,479.0,Occasion,False
XLRTEF5300G411299,Tracteur Mercedes Arocs 3363,530677.0,2017-10-16,Gazoil,Mercedes,18.420,FRANCE,,AGORASTORE,Yvelines,7.72,20.5,4x2,479.0,Occasion,False
XLRTEF5300G436934,Tracteur Volvo FH12,755470.0,2005-07-06,Gazoil,Volvo,460 A,FRANCE,,HAMECHER TOULOUSE VI,HauteGaronne,7.46,21.0,4x2,460.0,Occasion,False
XLRTEF5300G410327,Tracteur convoi exceptionnel Volvo FH16 550,622674.0,2020-12-03,Gazoil,Volvo,1845 LS,FRANCE,,VOLVO TRUCK CENTER LANGUEDOC,HauteGaronne,8.37,18.0,4x2,480.0,Occasion,False
XLRTEF5300G452375,Tracteur Volvo FH 460,313412.0,2017-07-27,Gazoil,Volvo,18.480,FRANCE,,AC Starter SAS,Finistère,8.34,19.0,4x2,400.0,Occasion - Accidenté,False
XLRTEF5300G401008,Tracteur DAF XF105 460,341000.0,2016-12-05,Gazoil,DAF,500,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.62,20.5,4x2,385.0,Occasion,False
XLRTEF5300G527405,Tracteur Mercedes Actros 1845,1031295.0,2016-09-12,Gazoil,Mercedes,520,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.5,20.5,4x2,420.0,Occasion,False
XLRTEH4300G418844,Tracteur Renault Premium Lander 460 DXI,1100000.0,2012-07-16,Gazoil,Renault,510 FT,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.26,19.0,4x2,520.0,Occasion,False
XLRTEH4300G356992,Tracteur produits dangereux / adr Renault Premium 450 DXI,304320.0,2008-11-06,Gazoil,Renault,450,FRANCE,,AVIE SARL,Rhône,8.05,28.0,4x2,480.0,Occasion,False
XLRTEH4300G403693,Tracteur MAN TGX 18.440,414098.0,2011-05-05,Gazoil,MAN,450,FRANCE,,AVIE SARL,Rhône,7.33,30.0,4x2,460.0,Occasion - Accidenté,False
XLRTEH4300G398420,Tracteur DAF XF105 410,701000.0,2011-02-15,Gazoil,DAF,18.510,FRANCE,,AVIE SARL,Rhône,6.58,27.0,4x2,460.0,Occasion,False
XLRTEF5300G410360,Tracteur Volvo FMX,816000.0,2012-01-03,Gazoil,Volvo,460,FRANCE,,AB MAT,SeineetMarne,8.4,26.5,4x2,450.0,Occasion,False
XLRTEF5300G452402,Tracteur Volvo FH 500,343000.0,2017-05-16,GNL,Volvo,480,FRANCE,,MARTIN SEB CASSE PL SAS,CharenteMaritime,7.07,19.0,4x2,530.0,Occasion - Accidenté,False
XLRTEF5300G408310,Tracteur DAF XF 106 530,525000.0,2021-03-29,Gazoil,DAF,450,FRANCE,,MARTIN SEB CASSE PL SAS,CharenteMaritime,7.65,20.5,4x2,480.0,Occasion - Accidenté,False
XLRTEH4300G412419,Tracteur Volvo FH 500,600000.0,2017-06-16,Gazoil,Volvo,410,FRANCE,,BKR SERVICE,Paris,7.65,44.0,4x2,480.0,Occasion,False
XLRTEF5300G408317,Tracteur Renault T-Series 440.19 DTI 13,958000.0,2019-08-30,Gazoil,Renault,HI-WAY,FRANCE,,CODICA VI SAS,Calvados,13.88,18.0,4x2,490.0,Occasion,False
XLRTEH4300G344891,Tracteur produits dangereux / adr Renault T-Series,627000.0,2019-05-15,Hybride,Renault,530 FT,FRANCE,,BERNIS TRUCKS POITIERS,Vienne,7.65,18.0,4x2,480.0,Occasion,False
XLRTEH4300G344455,Tracteur DAF XF,142000.0,2018-10-03,Gazoil,DAF,460,FRANCE,,BERNIS TRUCKS POITIERS,Vienne,7.35,35.5,4x2,480.0,Occasion,False
XLRTEH4300G396177,Tracteur Renault T-serie,242448.0,2015-12-03,Gazoil,Renault,530 FT,FRANCE,,BERNIS TRUCKS POITIERS,Vienne,8.77,18.0,4x2,450.0,Occasion,False
XLRTEF5300G435888,Tracteur produits dangereux / adr Renault T-Series,60000.0,2019-08-30,Gazoil,Renault,480 FT,FRANCE,,CODICA VI SAS,Calvados,8.3,18.0,4x2,480.0,Occasion,False
XLRTEF5300G408344,Tracteur Renault T-Series 480.18 DTI 13,405000.0,2021-11-29,Gazoil,Renault,530 FT,FRANCE,,Touraine Trucks Ets DOURS,IndreetLoire,7.1,18.0,4x2,460.0,Occasion,False
XLRTEF5300G409973,Tracteur Scania R 164R580,307614.0,2005-12-20,Gazoil,Scania,450,FRANCE,,BPVI SAS,Aveyron,5.71,18.0,4x2,500.0,Occasion,False
XLRTEF5300G410324,Tracteur Volvo FH16 750,650000.0,2017-12-31,Gazoil,Volvo,460,FRANCE,,H&A International Trucks,AlpesMaritimes,7.83,19.5,4x2,459.0,Occasion,False
XLRTEH4300G344002,Tracteur Iveco AS440S46T/P CNG,1100000.0,2021-10-05,Gazoil,Iveco,500,FRANCE,,IVECO EST,Moselle,8.27,19.5,4x2,500.0,Occasion,False
XLRTEH4300G406867,Tracteur DAF 480 XF SC 4x2 | Leasing from €1525/month,650000.0,2022-01-10,Gazoil,DAF,510 FT,FRANCE,,SPARDEX,Nord,6.06,19.5,4x2,450.0,Occasion,False
70304393,Tracteur DAF XF105 460,450000.0,2015-07-03,Gazoil,DAF,510 FT,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.37,20.5,4x2,500.0,Occasion,False
70304364,Tracteur MAN 33.480 TGX,899000.0,2008-06-10,Gazoil,MAN,480 FT,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,6.12,20.5,4x2,540.0,Occasion,False
70295872,Tracteur Scania G,1626603.0,2016-05-09,Gazoil,Scania,480 FT,FRANCE,,Truck Agence,Côted'Or,8.09,20.5,4x2,448.0,Occasion,False
70307521,Ensemble routier grumier Iveco X-WAY 570 6x4,615000.0,2024-03-19,Gazoil,Iveco,530 FT,FRANCE,,Truck Agence,Côted'Or,8.31,19.5,6x4,459.0,Occasion,False
70308186,Tracteur MAN TGX,530000.0,2019-05-15,Gazoil,MAN,460,FRANCE,,Truck Agence,Côted'Or,6.42,19.5,4x2,448.0,Occasion,False
70294932,Tracteur Renault Kerax 400,880.0,2000-10-13,Gazoil,Renault,530 FT,FRANCE,,B.A.S,MeurtheetMoselle,9.3,20.5,4x2,509.0,Occasion,False
70303974,Tracteur Iveco Stralis 500,650000.0,2010-08-11,Gazoil,Iveco,480 FT,FRANCE,,AVIE SARL,Rhône,7.95,20.5,6x4,489.0,Occasion,False
70308470,Tracteur DAF XF105 510,475000.0,2011-02-07,Gazoil,DAF,480 FT,FRANCE,,AVIE SARL,Rhône,7.41,19.5,4x2,448.0,Occasion,False
382,Tracteur Renault Premium 420 DCI,906000.0,2001-01-01,Gazoil,Renault,510 FT,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.04,20.5,4x2,409.0,Occasion,False
70306517,Tracteur Ford F-Max 500 | NEW Leasing,410000.0,2019-06-28,Gazoil,Ford,500,FRANCE,,SPARDEX,Nord,10.35,20.5,6x2,479.0,Occasion,False
70291319,Tracteur DAF XF105 460,917825.0,2015-07-22,Gazoil,DAF,1848,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,8.44,20.5,6x2,580.0,Occasion,False
70309073,Tracteur Scania 144L 460 L,632453.0,1998-02-25,Gazoil,Scania,480,FRANCE,,GUAINVILLE INTERNATIONAL,Yvelines,7.72,19.5,4x2,500.0,Occasion,False
26010045,Tracteur auto-école DAF XF 530,375000.0,2017-10-13,Gazoil,DAF,500,FRANCE,,GGT TRANS SARL,IlleetVilaine,7.9,19.0,4x2,530.0,Occasion,False
26020176,Tracteur MAN TGX 18.510,239842.0,2022-04-01,Gazoil,MAN,13.460,FRANCE,,GGT TRANS SARL,IlleetVilaine,8.46,50.0,4x2,482.0,Occasion,False
26066M,Tracteur Scania R 730,300.0,2011-07-07,Gazoil,Scania,460,FRANCE,,GYPROX,BouchesduRhône,8.53,19.0,4x2,482.0,Occasion,False
