Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
026302,Ensemble routier benne Mercedes Actros 1848,417 126 km,01/01/2013,Gazoil,Mercedes,530,FRANCE,11500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/34/1/11050849-photo-ensemble_routier_th.jpg,7.5 Tonnes,18 Tonnes,4x2,482,Occasion
987053,Tracteur Scania R 480,898 378 km,08/01/2007,Gazoil,Scania,510,FRANCE,18500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11049511-photo-tracteur_th.jpg,7.79 Tonnes,19 Tonnes,4x2,482,Occasion
251375,Tracteur Scania R 490,423 052 km,31/12/2016,Gazoil,Scania,500,FRANCE,22500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10993014-photo-tracteur_th.jpg,7.6 Tonnes,19 Tonnes,4x2,482,Occasion
242734,Tracteur DAF XF 530,738 869 km,07/10/2021,Gazoil,DAF,620,FRANCE,58000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10858543-photo-tracteur_th.jpg,7.52 Tonnes,19 Tonnes,4x2,482,Occasion
306059,Véhicule pour pièces MAN,683 346 km,03/10/2025,Gazoil,MAN,500 Globetrotter,FRANCE,60000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10853361-photo-tracteur_th.jpg,8.27 Tonnes,18 Tonnes,4x2,482,Occasion
714040,Véhicule pour pièces MAN,759 900 km,03/01/2025,Gazoil,MAN,500 Globetrotter,FRANCE,50000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10853286-photo-tracteur_th.jpg,7.28 Tonnes,18 Tonnes,4x2,482,Occasion
U1912653,Tracteur Volvo FH 460 Globetrotter,745 841 km,01/01/2013,Gazoil,Volvo,420,FRANCE,50000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10862821-photo-tracteur_th.jpg,8.28 Tonnes,27 Tonnes,4x2,482,Occasion
N1928062,Tracteur Iveco Stralis,826 459 km,01/01/2016,Gazoil,Iveco,18.500,FRANCE,40000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/32/1/11049356-photo-camion_th.jpg,8.3 Tonnes,18 Tonnes,4x2,482,Occasion
U1919576,Tracteur MAN TGX,984 414 km,01/01/2015,Gazoil,MAN,18.540,FRANCE,45000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10941537-photo-tracteur_th.jpg,8.13 Tonnes,18 Tonnes,4x2,482,Occasion
N1929131,Tracteur MAN TGX 18.510,617 932 km,12/09/2019,Gazoil,MAN,500,FRANCE,45000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10018183-photo-tracteur_th.jpg,7.1 Tonnes,20 Tonnes,4x2,482,Occasion
N1929135,Tracteur MAN TGX 18.440,320 750 km,05/12/2012,Gazoil,MAN,18.480,FRANCE,45000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10990577-photo-tracteur_th.jpg,8.1 Tonnes,6.9 Tonnes,4x2,482,Occasion
2673,Tracteur Scania R 500,1 494 771 km,31/12/2013,Gazoil,Scania,480,FRANCE,26500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10992875-photo-tracteur_th.jpg,8.07 Tonnes,0.53 Tonnes,4x2,482,Occasion
84816,Tracteur MAN TGX 18.480,887 727 km,01/08/2010,Gazoil,MAN,460,FRANCE,18000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11010406-photo-tracteur_th.jpg,7.33 Tonnes,6.93 Tonnes,4x2,482,Occasion
68334,Tracteur Renault T-Series 480,332 000 km,01/09/2016,Gazoil,Renault,460 Hi-Way,FRANCE,25500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10997121-photo-tracteur_th.jpg,8.07 Tonnes,6.04 Tonnes,4x2,482,Occasion
85172,Tracteur DAF XF,473 258 km,21/08/2012,Gazoil,DAF,AT 440 S 50,FRANCE,13500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10994790-photo-tracteur_th.jpg,7.12 Tonnes,6.19 Tonnes,4x2,482,Occasion
87841,Tracteur DAF XF 460,357 619 km,18/06/2013,Gazoil,DAF,480,FRANCE,22500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10957211-photo-tracteur_th.jpg,7.52 Tonnes,6.93 Tonnes,4x2,482,Occasion
85188,Tracteur Renault T-Series 460,759 030 km,20/01/2015,Gazoil,Renault,420,FRANCE,8500,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10963259-photo-tracteur_th.jpg,8.32 Tonnes,19.5 Tonnes,4x2,482,Occasion
83571,Tracteur Renault T-Series 520,915 089 km,17/05/2016,Gazoil,Renault,480,FRANCE,83000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10963275-photo-tracteur_th.jpg,8.38 Tonnes,19 Tonnes,4x2,482,Occasion
420353499,Tracteur MAN TGX 18.500,627 615 km,11/12/2017,Gazoil,MAN,500,FRANCE,82000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10963525-photo-tracteur_th.jpg,8.41 Tonnes,19 Tonnes,4x2,482,Occasion
447803981,Tracteur Mercedes Actros 1848,123 177 km,10/01/2020,Gazoil,Mercedes,420,FRANCE,43700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/10966397-photo-tracteur_th.jpg,8.65 Tonnes,27 Tonnes,4x2,460,Occasion
TT11095,Tracteur Renault Premium 420 DCI,420 000 km,01/01/2001,Gazoil,Renault,500,FRANCE,29750,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11142409-photo-tracteur_th.jpg,7.38 Tonnes,19.5 Tonnes,4x2,480,Occasion
1734282,Tracteur Mercedes Actros 1851,794 000 km,01/01/2012,Gazoil,Mercedes,18.480,FRANCE,28750,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11142393-photo-tracteur_th.jpg,7.27 Tonnes,19.5 Tonnes,4x2,450,Occasion
2640,Tracteur Mercedes Actros 1845 L,550 000 km,01/01/2013,Gazoil,Mercedes,380,FRANCE,24700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11142371-photo-tracteur_th.jpg,7.94 Tonnes,18 Tonnes,4x2,460,Occasion
70314444,Tracteur Mercedes Actros 1845 L,485 700 km,01/01/2013,Gazoil,Mercedes,1851,FRANCE,18900,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11142364-photo-tracteur_th.jpg,7.59 Tonnes,44 Tonnes,4x2,460,Occasion
70310410,Tracteur Mercedes Actros 1845,761 300 km,03/07/2016,Gazoil,Mercedes,I SAVE 500,FRANCE,18700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11136820-photo-tracteur_th.jpg,8.25 Tonnes,18 Tonnes,4x2,460,Occasion
70314675,Tracteur MAN TGX 18.510,846 400 km,01/04/2022,Gazoil,MAN,430,FRANCE,13850,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11129320-photo-tracteur_th.jpg,7.74 Tonnes,18 Tonnes,4x2,460,Occasion
70306156,Tracteur MAN TGX 33.560 BLS,499 000 km,29/05/2015,Gazoil,MAN,480,FRANCE,15250,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11127927-photo-tracteur_th.jpg,7.56 Tonnes,18 Tonnes,4x2,500,Occasion
70298705,Tracteur auto-école DAF XF 530,443 200 km,13/10/2017,Gazoil,DAF,18.500 XLX,FRANCE,9700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11127904-photo-tracteur_th.jpg,7.5 Tonnes,19 Tonnes,4x2,480,Occasion
70293703,Tracteur DAF XF 480,954 512 km,01/04/2018,Gazoil,DAF,480 FT,FRANCE,22750,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11113070-photo-tracteur_th.jpg,8.82 Tonnes,56 Tonnes,4x2,500,Occasion
SF374457,Tracteur MAN TGA 18.480,1 051 477 km,07/05/2005,Gazoil,MAN,XP 510,FRANCE,19700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11100089-photo-tracteur_th.jpg,7.97 Tonnes,70 Tonnes,4x2,540,Occasion
SF199873,Tracteur Scania R 490,746 739 km,01/05/2014,Gazoil,Scania,480,FRANCE,41250,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11099534-photo-tracteur_th.jpg,7.89 Tonnes,20 Tonnes,4x2,460,Occasion
XLRTEH4300G346635,Tracteur MAN TGX 18.500,764 923 km,01/01/2019,Gazoil,MAN,480,FRANCE,12250,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11083019-photo-tracteur_th.jpg,7.86 Tonnes,18 Tonnes,4x2,480,Occasion
RHT / MA156343,Tracteur Scania R 450,867 859 km,01/01/2020,Gazoil,Scania,420,FRANCE,85000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11077165-photo-tracteur_th.jpg,7.62 Tonnes,18 Tonnes,4x2,380,Occasion
RHT-IV441154,Tracteur Scania S 500,549 430 km,01/01/2019,Gazoil,Scania,380,FRANCE,21700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11077139-photo-tracteur_th.jpg,7.3 Tonnes,18 Tonnes,4x2,520,Occasion
RHT / DA195543,Tracteur Renault T-Series 480,997 800 km,26/06/2022,Gazoil,Renault,18.460 XLX,FRANCE,23750,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075763-photo-tracteur_th.jpg,8.29 Tonnes,18 Tonnes,4x2,450,Occasion
RHT-IV441276,Tracteur Renault T-Series,914 740 km,27/06/2022,Gazoil,Renault,460,FRANCE,59000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075621-photo-tracteur_th.jpg,8.82 Tonnes,20.5 Tonnes,4x2,450,Occasion
IV441153,Tracteur Renault T-Series 480,914 932 km,07/09/2021,Gazoil,Renault,460,FRANCE,32000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075609-photo-tracteur_th.jpg,7.67 Tonnes,44 Tonnes,4x2,460,Occasion
SC235645,Tracteur MAN TGX 18.510 XLX,751 411 km,29/06/2021,Gazoil,MAN,500,FRANCE,35000,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075605-photo-tracteur_th.jpg,7.5 Tonnes,18 Tonnes,4x2,460,Occasion
745N,Tracteur MAN TGX 18.510 XLX,910 336 km,25/06/2021,Gazoil,MAN,510,FRANCE,28650,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075604-photo-tracteur_th.jpg,9.11 Tonnes,18 Tonnes,4x2,577,Occasion
