Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
71911,Tracteur Mercedes neuf Actros 1845,337 800 km,--,GPL,Mercedes,480,FRANCE,1980,SAS RAMBACH, SeineetMarne,https://photo.static-viamobilis.com/31/1/11173946-photo-tracteur_th.jpg,7.39 Tonnes,19 Tonnes,4x2,480,Neuf
1589883,Tracteur Renault T-Series 460,128 000 km,02/11/2020,Gazoil,Renault,480,FRANCE,748,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11162692-photo-tracteur_th.jpg,7.55 Tonnes,19 Tonnes,4x2,500,Occasion
0001868072,Tracteur MAN TGX 18.500,1 300 000 km,18/09/2017,Gazoil,MAN,480,FRANCE,2181,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10127720_th.jpg,8.42 Tonnes,19 Tonnes,4x2,470,Occasion
R1890,Tracteur Volvo FH 500 Globetrotter XL | Leasing,237 429 km,20/10/2021,Gazoil,Volvo,450 DXI,FRANCE,1425,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10495771_th.jpg,8.57 Tonnes,19 Tonnes,4x2,470,Occasion
GD931,Tracteur DAF 480 XG | Leasing,459 863 km,30/11/2022,Gazoil,DAF,26.510,FRANCE,1696,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/11016941_th.jpg,8.45 Tonnes,19 Tonnes,4x2,470,Occasion
GF548,Tracteur Renault T440 Sleeper cab | Leasing from €1696/month,125 000 km,28/06/2022,Gazoil,Renault,460,FRANCE,1735,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10121021_th.jpg,8.24 Tonnes,34 Tonnes,4x2,470,Occasion
E62212,Tracteur surbaissé Scania R 490,730 000 km,21/09/2016,Gazoil,Scania,530,FRANCE,2500,Jakob Joël, HautRhin,https://photo.static-viamobilis.com/31/1/11145676-photo-tracteur_th.jpg,8400 Tonnes,19 Tonnes,4x2,530,Occasion
XLRTEH4300G356544,Tracteur DAF XF105,255 534 km,17/07/2017,Gazoil,DAF,18.510 XLX,FRANCE,1287,Fabien lecaplain, Manche,https://photo.static-viamobilis.com/32/1/11160825-photo-camion_th.jpg,7.65 Tonnes,44 Tonnes,4x2,482,Occasion
XLRTEH4300G380689,Tracteur Renault T-Series 480,537 715 km,29/11/2022,Gazoil,Renault,1845,FRANCE,1639,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11171774-photo-tracteur_th.jpg,8.34 Tonnes,19 Tonnes,4x2,482,Occasion
XLRTEF5300G423890,Tracteur Renault T-Series 480,537 715 km,01/02/2022,Gazoil,Renault,480,FRANCE,1474,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11171769-photo-tracteur_th.jpg,8.27 Tonnes,19 Tonnes,4x2,482,Occasion
2978,Tracteur Mercedes E Actros II 1848 SreamSpace 2.5 m E6,318 713 km,22/09/2022,Gazoil,Mercedes,460,FRANCE,1384,BPM PRO MERCEDES CAMIONS Rennes, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11160798_th.jpg,8.31 Tonnes,19 Tonnes,4x2,480,Occasion
169-GK634CR,Tracteur Renault T-Series T HIGH 480 T 4X2 Optidriver E6,570 000 km,13/12/2022,Gazoil,Renault,AS 440 S 53 T/P,FRANCE,1669,BERNARD TRUCKS 69 VILLEFRANCHE SUR SAONE, Rhône,https://photo.static-viamobilis.com/31/1/11171598_th.jpg,8.45 Tonnes,19 Tonnes,4x2,480,Occasion
169-GD648ZD,Tracteur DAF XF 530 SSC 2x Tanks | Leasing from €1669/ month,270 000 km,04/09/2021,Gazoil,DAF,480,FRANCE,1977,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10495775_th.jpg,8.5 Tonnes,19 Tonnes,4x2,480,Occasion
169-GH445VW,Tracteur MAN TGX 18.470 4x2 | Leasing from €1977/month,670 000 km,29/06/2021,Gazoil,MAN,480,FRANCE,1553,SPARDEX, Nord,https://photo.static-viamobilis.com/31/1/10452496_th.jpg,8.53 Tonnes,19 Tonnes,4x2,480,Occasion
DJ492ZV,Tracteur Scania R 440,645 670 km,07/04/2014,Gazoil,Scania,480,FRANCE,1800,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/11160958_th.jpg,9.38 Tonnes,19 Tonnes,4x2,420,Occasion - Accidenté
15927,Tracteur convoi exceptionnel DAF 480 Super Space Cab XF,420 000 km,24/02/2021,Gazoil,DAF,26.430,FRANCE,794,SYLTRAILER, PyrénéesOrientales,https://photo.static-viamobilis.com/31/1/11170035_th.jpg,7.26 Tonnes,19 Tonnes,4x2,500,Occasion
IVECO X-WAY 490,Tracteur Renault T-Series 460,681 815 km,27/10/2020,Gazoil,Renault,18.470,FRANCE,1138,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11170032-photo-tracteur_th.jpg,8.14 Tonnes,19 Tonnes,4x2,540,Occasion
BQ 512 XD,Tracteur Renault T-Series,380 564 km,21/03/2022,Gazoil,Renault,18.520,FRANCE,1207,Renault Trucks France – centre occasion Lyon, Rhône,https://photo.static-viamobilis.com/31/1/11052120_th.jpg,8.51 Tonnes,19 Tonnes,4x2,459,Occasion
BH 233 WJ,Tracteur Iveco S-WAY 460 CNG,437 754 km,18/01/2022,GNC,Iveco,480,FRANCE,648,PVA TRUCKS, LotetGaronne,https://photo.static-viamobilis.com/31/1/7916499_th.jpg,8.53 Tonnes,19 Tonnes,4x2,450,Occasion
EA 709 VF,Tracteur Mercedes neuf Actros 1851 LS,287 232 km,--,Gazoil,Mercedes,1845,FRANCE,1669,MERCEDES-BENZ GROUPE CHOPARD ETOILE 21 VI, Côted'Or,https://photo.static-viamobilis.com/31/1/11159209-photo-tracteur_th.jpg,7.54 Tonnes,19 Tonnes,6x4,480,Neuf
FC3077,Tracteur MAN TGX 18.510,283 939 km,02/12/2022,Gazoil,MAN,410,FRANCE,1249,C.E.A.P.L, HauteVienne,https://photo.static-viamobilis.com/31/1/10575296-photo-tracteur_th.jpg,7.91 Tonnes,19 Tonnes,4x2,480,Occasion - Accidenté
2941,Tracteur DAF XF 106 480,388 487 km,03/04/2019,GNL,DAF,500,FRANCE,1172,MARTIN SEB CASSE PL SAS, CharenteMaritime,https://photo.static-viamobilis.com/31/1/11076882-photo-tracteur_th.jpg,10.2 Tonnes,19 Tonnes,4x2,480,Occasion - Accidenté
26352,Tracteur Renault T-High 520 T4X2 E6,291 853 km,07/03/2022,Gazoil,Renault,450,FRANCE,2036,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11046981-photo-tracteur_th.jpg,7.84 Tonnes,33 Tonnes,4x2,460,Occasion
4887,Tracteur Renault T-Series 480,628 610 km,02/01/2020,Gazoil,Renault,610,FRANCE,1420,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11149798-photo-tracteur_th.jpg,7.98 Tonnes,19 Tonnes,4x2,500,Occasion
3968,Tracteur Renault T-Series 440,240 513 km,02/11/2020,Gazoil,Renault,TGR 1846,FRANCE,2132,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11144545-photo-tracteur_th.jpg,7.74 Tonnes,19 Tonnes,4x4,460,Occasion
