Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
1728942,Tracteur Renault T-Series,45000.0,2022-01-06,Gazoil,Renault,530,FRANCE,2052,FAURIE USED TRUCKS,Corrèze,7.99,19.0,4x2,530.0,Occasion
1728930,Tracteur produits dangereux / adr Mercedes Actros 1845 | Leasing,776351.0,2020-09-23,Gazoil,Mercedes,18.510,FRANCE,1133,SPARDEX,Nord,9.01,19.0,4x2,480.0,Occasion
E65259,Tracteur DAF 480 XF SC 4x2 | Leasing from €1133/month,517692.0,2019-10-01,Gazoil,DAF,18.510 XLX,FRANCE,1772,SPARDEX,Nord,8.47,19.0,4x2,470.0,Occasion
E65253,Tracteur MAN TGX 18.470 4x2 | Leasing from €1828/month,525119.0,2021-05-21,Gazoil,MAN,18.500,FRANCE,1304,SPARDEX,Nord,7.82,19.5,4x2,449.0,Occasion
70,Tracteur DAF 480 XF SSC 2x Tanks | Leasing from €1304/month,894000.0,2021-06-11,Gazoil,DAF,18.480,FRANCE,1401,SPARDEX,Nord,7.59,18.0,4x2,480.0,Occasion
2977,Tracteur DAF XF 530 SSC 2x Tanks | Leasing from €1401/month,498000.0,2020-12-10,Gazoil,DAF,18.480,FRANCE,1628,SPARDEX,Nord,7.6,19.0,4x2,480.0,Occasion
2822,Tracteur MAN TGX 18.500 4x2 | Leasing from €1628/month,862920.0,2020-12-10,Gazoil,MAN,18.510,FRANCE,1038,SPARDEX,Nord,8.24,19.0,4x2,460.0,Occasion
2905,Tracteur DAF 480 XF SSC | Leasing,487976.0,2021-03-03,Gazoil,DAF,730,FRANCE,1155,SPARDEX,Nord,7.52,44.0,4x2,540.0,Occasion
2962,Tracteur DAF 480 XF SSC | Leasing,377995.0,2022-03-31,Gazoil,DAF,480,FRANCE,828,SPARDEX,Nord,7.98,18.0,4x2,530.0,Occasion
2980,Tracteur DAF XF 480 SSC | Leasing,366730.0,2021-04-30,Gazoil,DAF,480,FRANCE,1873,SPARDEX,Nord,7.74,19.0,4x2,450.0,Occasion
449882111,Tracteur Mercedes neuf Actros 1845,930000.0,,Gazoil,Mercedes,450,FRANCE,1980,SAS RAMBACH,SeineetMarne,7.5,19.0,4x2,510.0,Neuf
71911,Tracteur Mercedes neuf Actros 1845,337800.0,,GPL,Mercedes,480,FRANCE,1980,SAS RAMBACH,SeineetMarne,7.39,19.0,4x2,480.0,Neuf
1589883,Tracteur Renault T-Series 460,128000.0,2020-11-02,Gazoil,Renault,480,FRANCE,748,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,7.55,19.0,4x2,500.0,Occasion
0001868072,Tracteur MAN TGX 18.500,1300000.0,2017-09-18,Gazoil,MAN,480,FRANCE,2181,GUAINVILLE INTERNATIONAL,Yvelines,8.42,19.0,4x2,470.0,Occasion
R1890,Tracteur Volvo FH 500 Globetrotter XL | Leasing,237429.0,2021-10-20,Gazoil,Volvo,450 DXI,FRANCE,1425,SPARDEX,Nord,8.57,19.0,4x2,470.0,Occasion
GD931,Tracteur DAF 480 XG | Leasing,459863.0,2022-11-30,Gazoil,DAF,26.510,FRANCE,1696,SPARDEX,Nord,8.45,19.0,4x2,470.0,Occasion
GF548,Tracteur Renault T440 Sleeper cab | Leasing from €1696/month,125000.0,2022-06-28,Gazoil,Renault,460,FRANCE,1735,SPARDEX,Nord,8.24,34.0,4x2,470.0,Occasion
E62212,Tracteur surbaissé Scania R 490,730000.0,2016-09-21,Gazoil,Scania,530,FRANCE,2500,Jakob Joël,HautRhin,8400.0,19.0,4x2,530.0,Occasion
XLRTEH4300G356544,Tracteur DAF XF105,255534.0,2017-07-17,Gazoil,DAF,18.510 XLX,FRANCE,1287,Fabien lecaplain,Manche,7.65,44.0,4x2,482.0,Occasion
