Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
89- EH961MW,Tracteur AMG M 931,280 000 km,--,Gazoil,AMG,1848,FRANCE,Prix sur demande,CLOMAT SARL, Nord,https://photo.static-viamobilis.com/31/1/1002455-photo-tracteur_th.jpg,7.62 Tonnes,19 Tonnes,4x2,440,Occasion
3430 LG,Véhicule pour pièces Mercedes Actros,389 000 km,--,Gazoil,Mercedes,18.430,FRANCE,Prix sur demande,SURPLUS INDUSTRIES (Pieces PL), Tarn,https://photo.static-viamobilis.com/31/1/9745275-photo-pieces_poids_lourds_th.jpg,7.86 Tonnes,44 Tonnes,4x2,500,Occasion
BS118YZ,Tracteur Scania P 124P360,782 651 km,31/03/1999,Hybride,Scania,1845,FRANCE,Prix sur demande,GLOBAL GCTF, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/9381750-photo-tracteur_th.jpg,7 Tonnes,19 Tonnes,4x2,460,Occasion
FD-929,Tracteur MAN TGX 18.460,293 km,31/10/2017,Gazoil,MAN,1845,FRANCE,Prix sur demande,INTERNATIONAL STRATEGE SARL, SeineMaritime,https://photo.static-viamobilis.com/31/1/10835097-photo-tracteur_th.jpg,8.9 Tonnes,19 Tonnes,4x2,420,Occasion
77,Tracteur Renault C-Series,506 485 km,--,Gazoil,Renault,1845,FRANCE,Prix sur demande,FAURIE USED TRUCKS, Corrèze,https://photo.static-viamobilis.com/31/1/11115110_th.jpg,8.48 Tonnes,19 Tonnes,4x2,400,Occasion
3430 LG,Tracteur Volvo FMX 450,159 431 km,10/01/2011,Gazoil,Volvo,460 DXI,FRANCE,Prix sur demande,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/10568721_th.jpg,7.79 Tonnes,19 Tonnes,4x2,560,Occasion - Accidenté
SAVIEM,Tracteur MAN TGS 33.440,389 000 km,10/02/2014,Hybride,MAN,18.500,FRANCE,Prix sur demande,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/11065266_th.jpg,7.42 Tonnes,19 Tonnes,4x2,510,Occasion - Accidenté
FD-929,Véhicule pour pièces Mercedes Actros,782 651 km,--,Hybride,Mercedes,410,FRANCE,Prix sur demande,SURPLUS INDUSTRIES (Pieces PL), Tarn,https://photo.static-viamobilis.com/31/1/9745275-photo-pieces_poids_lourds_th.jpg,7.56 Tonnes,18 Tonnes,4x2,500,Occasion
362,Tracteur Scania P 124P360,506 485 km,31/03/1999,Gazoil,Scania,510,FRANCE,Prix sur demande,GLOBAL GCTF, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/9381750-photo-tracteur_th.jpg,7.8 Tonnes,19 Tonnes,4x2,480,Occasion
449,Tracteur MAN TGX 18.460,688 562 km,31/10/2017,Gazoil,MAN,500 Globetrotter,FRANCE,Prix sur demande,INTERNATIONAL STRATEGE SARL, SeineMaritime,https://photo.static-viamobilis.com/31/1/10835097-photo-tracteur_th.jpg,7.56 Tonnes,19 Tonnes,4x2,460,Occasion
