Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
XLRTEH4300G369300,Tracteur DAF 480 XF FT 4X2,422075.0,2022-03-10,Gazoil,DAF,1846 LS,FRANCE,44900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.37,26.0,4x2,482.0,Occasion
XLRTEH4300G340206,Tracteur DAF XF 530 FT 4X2,210948.0,2022-04-19,Gazoil,DAF,18.440,FRANCE,44400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.62,20.0,4x2,482.0,Occasion
XLRTEH4300G384085,Tracteur DAF 480 XF FT 4X2,328131.0,2021-12-01,Gazoil,DAF,450,FRANCE,40700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.1,44.0,4x2,482.0,Occasion
XLRTEH4300G252886,Tracteur DAF 480 XF FT 4X2,199427.0,2021-10-04,Gazoil,DAF,480 FT,FRANCE,36600.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.8,19.0,4x2,482.0,Occasion
XLRTEF5300G399691,Tracteur DAF 480 XF FT 4X2,387712.0,2021-01-22,Gazoil,DAF,500,FRANCE,35200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7350.0,19.0,4x2,482.0,Occasion
XLRTEH4300G353761,Tracteur DAF XF 530 FT 4X2,367614.0,2022-01-21,Gazoil,DAF,530,FRANCE,39400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.79,19.0,4x2,448.0,Occasion
XLRTEH4300G343612,Tracteur DAF 480 XF FT 4X2,520100.0,2019-01-25,Gazoil,DAF,500,FRANCE,22600.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.55,19.0,4x2,482.0,Occasion
XLRTEH4300G347916,Tracteur DAF 480 XFn FT 4X2,269184.0,2022-04-21,Gazoil,DAF,1845,FRANCE,53300.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,20.5,19.0,4x2,482.0,Occasion
XLRTEH4100G320705,Tracteur DAF 480 XF FT 4X2,240829.0,2021-05-14,Gazoil,DAF,18.480,FRANCE,31900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.71,19.0,4x2,482.0,Occasion
XLRTEH4300G353572,Tracteur DAF 480 XF FT 4X2,875986.0,2021-04-01,Gazoil,DAF,480,FRANCE,26900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,11.96,19.0,4x2,482.0,Occasion
XLRTEH4300G385123,Tracteur DAF 480 XF FT 4X2,228853.0,2021-07-08,Gazoil,DAF,480,FRANCE,34700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.9,19.0,4x2,530.0,Occasion
XLRTEH4300G395943,Tracteur DAF XF 450 FT 4X2,326954.0,2020-08-27,Gazoil,DAF,26.560,FRANCE,26000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.61,26.0,4x2,482.0,Occasion
XLRTEH4300G392454,Tracteur DAF 480 XF FT 4X2,246605.0,2021-05-21,Gazoil,DAF,480 T4X2 E6,FRANCE,36200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,4.0,19.0,4x2,482.0,Occasion
XLRTEH4300G376694,Tracteur DAF 480 XF FT 4X2,201516.0,2021-12-14,Gazoil,DAF,500,FRANCE,32800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.6,19.0,4x2,482.0,Occasion
XLRTEH4300G360158,Tracteur DAF 480 XF FT 4X2,563873.0,2022-03-23,Gazoil,DAF,500,FRANCE,38700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.6,19.0,4x2,482.0,Occasion
XLRTEH4300G393772,Tracteur DAF 480 XF FT 4X2,321394.0,2022-02-09,Gazoil,DAF,480,FRANCE,47800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G379722,Tracteur DAF XF 530 FT 4X2,352675.0,2021-11-05,Gazoil,DAF,1845,FRANCE,39400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.33,19.0,4x2,482.0,Occasion
XLRTEF5300G401688,Tracteur DAF 480 XF FT 4X2,421948.0,2021-08-04,Gazoil,DAF,500,FRANCE,33500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.7,19.0,4x2,482.0,Occasion
XLRTEH4300G392533,Tracteur DAF 480 XF FT 4X2,348851.0,2022-03-21,Gazoil,DAF,18.440,FRANCE,45700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.03,19.0,4x2,482.0,Occasion
XLRTEH4300G372218,Tracteur DAF 480 XF FT 4X2,324558.0,2021-12-06,Gazoil,DAF,530,FRANCE,40700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,9.33,26.0,4x2,482.0,Occasion
XLRTEH4300G288415,Tracteur DAF 480 XFn FT 4X2,261712.0,2022-05-17,Gazoil,DAF,460,FRANCE,53200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.06,19.0,4x2,482.0,Occasion
XLRTEH4300G384569,Tracteur DAF 480 XF FT 4X2,343445.0,2022-02-09,Gazoil,DAF,460,FRANCE,45400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.17,19.0,4x2,482.0,Occasion
XLRTEF5300G419671,Tracteur DAF 480 XF FT 4X2,322200.0,2021-09-23,Gazoil,DAF,460,FRANCE,36000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.1,19.0,4x2,482.0,Occasion
XLRTEH4300G351902,Tracteur DAF 480 XF FT 4X2,636382.0,2020-12-18,Gazoil,DAF,480.19 DTI 13,FRANCE,25900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.67,26.0,4x2,482.0,Occasion
